model,file,count,BLEU,ROUGE-L,METEOR,CIDEr,SBERT Cosine
chatgpt-5.4-none,without_issue_363_collection\chatgpt-5.4-none_without_issue_363.json,363,19.666048237476808,30.746028741876643,37.27586449453938,12.275060982523797,61.14246845245361
chatgpt-5.4,without_issue_363_collection\chatgpt-5.4_without_issue_363.json,363,20.669076237706985,32.598396126683824,39.58378626368534,13.35677414628301,62.447553873062134
deepseek-chat,without_issue_363_collection\deepseek-chat_without_issue_363.json,363,19.083146812567357,30.90598383370333,36.90891610912425,12.179261963553525,60.524165630340576
deepseek-reasoner,without_issue_363_collection\deepseek-reasoner_without_issue_363.json,363,18.69466117296397,30.696445086228998,35.99002749389329,12.213350130066733,60.8066201210022
