model,file,count,BLEU,ROUGE-L,METEOR,CIDEr,SBERT Cosine
chatgpt-5.4-none,with_full_issue_363_collection\chatgpt-5.4-none_with_full_issue_363.json,363,23.360255613739238,36.59636438928795,42.883742220009545,15.91410116612429,65.33989906311035
chatgpt-5.4,with_full_issue_363_collection\chatgpt-5.4_with_full_issue_363.json,363,23.786915236518862,37.06778449249233,43.03550435757289,16.12429146656805,64.93300795555115
deepseek-chat,with_full_issue_363_collection\deepseek-chat_with_full_issue_363.json,363,23.245871405817756,37.28681724546949,42.72296989299203,16.990440095580034,65.45982956886292
deepseek-reasoner,with_full_issue_363_collection\deepseek-reasoner_with_full_issue_363.json,363,22.036551315678146,36.96649728478836,43.00674148555341,16.09263002832203,65.30815958976746
